Date,Open,High,Low,Close,Adj Close ,Volume
"Jul 3, 2024",458.19,461.02,457.88,460.77,458.1,9932800
"Jul 2, 2024",453.2,459.59,453.11,459.28,456.62,13979800
"Jul 1, 2024",448.66,457.37,445.66,456.73,454.09,17662800
"Jun 28, 2024",453.07,455.38,446.41,446.95,444.36,28362300
"Jun 27, 2024",452.18,456.17,451.77,452.85,450.23,14806300
"Jun 26, 2024",449,453.6,448.19,452.16,449.54,16507000
"Jun 25, 2024",448.25,451.42,446.75,450.95,448.34,16747500
"Jun 24, 2024",449.8,452.75,446.41,447.67,445.08,15913700
"Jun 21, 2024",447.38,450.58,446.51,449.78,447.18,34486200
"Jun 20, 2024",446.3,446.53,441.27,445.7,443.12,19877400
"Jun 18, 2024",449.71,450.14,444.89,446.34,443.76,17112500
"Jun 17, 2024",442.59,450.94,440.72,448.37,445.78,20790000
"Jun 14, 2024",438.28,443.14,436.72,442.57,440.01,13582000
"Jun 13, 2024",440.85,443.39,439.37,441.58,439.02,15960600
"Jun 12, 2024",435.32,443.4,433.25,441.06,438.51,22366200
"Jun 11, 2024",425.48,432.82,425.25,432.68,430.18,14551100
"Jun 10, 2024",424.7,428.08,423.89,427.87,425.39,14003000
"Jun 7, 2024",426.2,426.28,423,423.85,421.4,13621700
"Jun 6, 2024",424.01,425.31,420.58,424.52,422.06,14861300
"Jun 5, 2024",417.81,424.08,416.3,424.01,421.56,16988000
"Jun 4, 2024",412.43,416.44,409.68,416.07,413.66,14348900
"Jun 3, 2024",415.53,416.43,408.92,413.52,411.13,17484700
"May 31, 2024",416.75,416.75,404.51,415.13,412.73,47995300
"May 30, 2024",424.3,424.3,414.24,414.67,412.27,28424800
"May 29, 2024",425.69,430.94,425.69,429.17,426.69,15517100
"May 28, 2024",429.63,430.82,426.6,430.32,427.83,15718000
"May 24, 2024",427.19,431.06,424.41,430.16,427.67,11845800
"May 23, 2024",432.97,433.6,425.42,427,424.53,17211700
"May 22, 2024",430.09,432.41,427.13,430.52,428.03,18073700
"May 21, 2024",426.83,432.97,424.85,429.04,426.56,21453300
"May 20, 2024",420.21,426.77,419.99,425.34,422.88,16272100
"May 17, 2024",422.54,422.92,418.03,420.21,417.78,15352200
"May 16, 2024",421.8,425.42,420.35,420.99,418.55,17530100
"May 15, 2024",417.9,423.81,417.27,423.08,420.63,22239500
"May 14, 2024",412.02,417.49,411.55,416.56,413.4,15109300
"May 13, 2024",418.01,418.35,410.82,413.72,410.59,15440200
"May 10, 2024",412.94,415.38,411.8,414.74,411.6,13402300
"May 9, 2024",410.57,412.72,409.1,412.32,409.2,14689700
"May 8, 2024",408.17,412.23,406.71,410.54,407.43,11792300
"May 7, 2024",414.66,414.67,409.09,409.34,406.24,20018200
"May 6, 2024",408.76,413.93,406.37,413.54,410.41,16996600
"May 3, 2024",402.28,407.15,401.86,406.66,403.58,17446700
"May 2, 2024",397.66,399.93,394.65,397.84,394.83,17709400
"May 1, 2024",392.61,401.72,390.31,394.94,391.95,23562500
"Apr 30, 2024",401.49,402.16,389.17,389.33,386.38,28781400
"Apr 29, 2024",405.25,406.32,399.19,402.25,399.2,19582100
"Apr 26, 2024",412.17,413,405.76,406.32,403.24,29694700
"Apr 25, 2024",394.03,399.89,388.03,399.04,396.02,40586500
"Apr 24, 2024",409.56,412.47,406.78,409.06,405.96,15065300
"Apr 23, 2024",404.24,408.2,403.06,407.57,404.48,15734500
"Apr 22, 2024",400.08,402.85,395.75,400.96,397.92,20286900
"Apr 19, 2024",404.03,405.48,397.77,399.12,396.1,30276500
"Apr 18, 2024",410.63,411.89,403.95,404.27,401.21,21029900
